,data,label
11585, đẹp,1
98892,vô dụng không có gì để nấu mất nhiều thời gian chỉ hoạt động để hâm nóng thức ăn chỉ vậy thôi,0
20110,sản phẩm tốt hơn Seagate,1
50544,rất tệ,0
115551,thất vọng sản phẩm thì tốt nhưng họ không giao đến địa chỉ đã cho chúng tôi gọi đến dịch vụ khách hàng nhiều lần nhưng vẫn không giải quyết được vấn đề sau đó chúng tôi chỉ đành đến văn phòng chuyển phát và nhận hàng sau 20 ngày dịch vụ tồi tệ từ đối tác chuyển phát gati dkt chúng tôi đi 60 km từ quê nhà và tìm văn phòng của họ để nhận sản phẩm chúng tôi đã có trải nghiệm rất tồi tệ,0
30518,siêu,1
54723,vấn đề kích thước,0
101329,sao lưu tốt,1
194616,bàn cứng và rộng sản phẩm tốt,0
156089,"rất rất tốt, chất lượng sản phẩm tốt nhất",1
193267,tốt,1
27784,đế tệ nhất không tốt,0
168037,"sản phẩm này không hoàn hảo, điều khiển từ xa không hoạt động nên đừng mua sản phẩm này.",0
125602,"Tôi đã mua thiết bị này cách đây một tuần, giao diện tốt nhưng thiết bị cứ khởi động lại, đôi khi tôi không thể hiểu vấn đề của nó.",0
172902,"dịch vụ rất nhanh, cảm ơn flipkart",1
120888,vấn đề nhiệt độ khi sử dụng bình thường,0
73337,tốt,1
146002,sản phẩm rất kém,0
836,"không bao giờ mua máy làm mát từ flipkart. 10500 của tôi bị lãng phí, bơm không hoạt động, tổ ong khô, không thổi không khí mát. cái thanh trượt lên xuống cũng không hoạt động, khi bạn làm thủ công lên nó sẽ tự động đi xuống sau vài phút chỉ thổi không khí xuống dưới. tôi là khách hàng thường xuyên của flipkart và đã tin tưởng flipkart nhưng sau trải nghiệm mua máy làm mát này, tôi ghét flipkart từ bây giờ và sẽ không bao giờ đặt hàng tại flipkart nữa. tôi đã yêu cầu trả hàng, đó là chính sách thay thế 7 ngày nhưng kỹ thuật viên đã đến và...",0
133290,"sản phẩm rất tốt, tốt nhất trong tất cả các sản phẩm thương hiệu kent là thương hiệu đáng tin cậy nhất",1
165385,Đồng hồ đẹp nhưng nhỏ.,1
74442,"cái nivia storm này là quả bóng tốt nhất trong phân khúc này, tôi thích nó",1
111577,chất lượng kém,0
30341,"ít chất lỏng ở đầu, hoàn toàn lãng phí tiền.",0
87835,lưỡi dao tệ nhất.,0
179187,giường kêu cọt kẹt phía trên,0
119749,chất lượng âm thanh tốt,1
16131,siêu,1
52890,"Đây là lần mua lại sản phẩm này của tôi vì chất liệu rất thoải mái, chất lượng tuyệt vời và kích thước hoàn toàn giống như đã đề cập trong mô tả. Với mức giá này, bạn sẽ không tìm thấy chất lượng tuyệt vời như vậy ở đâu. Cảm ơn Indiclub.",1
97280,"lãng phí tiền bạc, pin một tuần, di động uốn cong là một tháng",0
182788,trung bình,0
66482,tuyệt vời,1
88309,Âm thanh của động cơ quá ồn và cối xay chỉ đang trộn mà không ép nước.,0
166483,chất lượng hạt giống kém,0
176260,tuyệt vời,1
134993,sản phẩm tuyệt vời,1
72710,"không có chất lượng, làm ơn đừng lãng phí tiền của bạn",0
115387,"Ôi trời, tôi chưa bao giờ mong đợi mi tv 4a pro lại huyền thoại như vậy. Nó là một chiếc tivi tuyệt vời, chất lượng âm thanh thật tuyệt vời và chất lượng hình ảnh cũng tốt.",1
167042,chứa tất cả như đã đề cập có đèn chỉ báo không thể yêu cầu một gói tốt hơn với mức giá này,0
95485,rất tệ,0
97989,như mong đợi không có hư hỏng dịch vụ giao hàng khá nhanh cảm ơn flipkart,0
185634,rất tuyệt nhưng tôi không được phục vụ lắp đặt nên hơi thất vọng một chút,0
32611,"chất lượng kém trên thị trường, các sản phẩm khác rẻ hơn sản phẩm này",0
55583,chất lượng tệ nhất,0
169733,Tôi yêu sản phẩm này.,1
102390,không hoạt động,0
7585,siêu camera giá rẻ,1
143185,sản phẩm tệ nhất,0
36850,tuyệt vời,1
23167,sản phẩm tốt nhất,1
32662,không tốt,0
182846,"không có hạt nào nảy mầm, chất lượng kém",0
1263,tuyệt vời,1
