,data,label
129297,"rất tệ, trong 3 tháng chương trình không hoạt động đúng cách.",0
197853,tốt,1
8679,sản phẩm rất đẹp,1
32679,chất lượng rất kém,0
165275,sản phẩm tốt,1
172806,tệ,0
16470,"phần tồi tệ nhất của sản phẩm là chúng tôi không thể trả lại, chỉ có thể đổi, tồi tệ nhất.",0
154968,sản phẩm rất tốt cảm ơn flipkart tôi rất vui,1
42018,chất lượng rất tệ,0
144993,xuất sắc,1
156265,chất thải,0
19133,ổ cứng tuyệt vời với tốc độ đáng kinh ngạc,1
112736,sản phẩm tệ nhất rất rất tệ,0
27105,không tệ nhưng có thể tốt hơn,1
145497,chất lượng không tốt,0
162084,"chất lượng rất kém và in bị thiếu, các sợi bị thiếu",0
135189,xuất sắc,1
26069,trải nghiệm xử lý lệnh kém và rất phức tạp,0
88334,"Sản phẩm đẹp, cảm ơn bạn.",1
102633,"sản phẩm tệ nhất, tôi đã mua sản phẩm này cách đây một tuần và nó đã hết, không in được 10 bản. người bán và nhà sản xuất ghi trong thông tin sản phẩm rằng có thể in 100 bản nhưng họ đang lừa đảo vì nó thậm chí không in được 10 bản.",0
151223,rất kém,0
90222,rất hào hứng,1
125799,"Không hoạt động, layout rất tệ.",0
91065,"Nhận được sản phẩm đã qua sử dụng và bị lỗi, tôi không mong đợi điều này từ Flipkart.",0
45084,vấn đề chất lượng,0
1470,"Nước không chảy từ lỗ, dịch vụ của Crompton không tốt.",0
85651,xấu,0
52096,tốt,1
92579,tốt đẹp,1
64816,kajal đẹp,1
87718,Nắp mở khi sử dụng và máy trộn không ổn định trong quá trình hoạt động.,0
154441,chất lượng không như mong đợi,0
106401,chất lượng rất kém và rất thất vọng về sản phẩm này,0
63772,Nó tốt.,1
23502,tốt,1
68071,bat là chất lượng kém,0
57338,"Hãy thử đi, nó thật tuyệt vời!",1
95887,"Điện thoại của tôi liên tục khởi động lại, không làm được gì với nó, vừa mua cách đây 20 ngày.",0
48534,chất lượng rất kém,0
21477,tốt,1
9901,Tốt nhưng không hoàn hảo.,0
82214,tuyệt vời,1
179325,tay cầm bị hỏng,0
97093,nó không tốt,0
38707,rất rất thất vọng hôm nay,0
23058,"sản phẩm rất chức năng và đa nhiệm, cần có",1
135115,tiếng ồn thì tệ,0
154812,không tốt như mong đợi,0
87950,sản phẩm tệ nhất,0
52897,sản phẩm tốt,1
114361,rất tốt,1
51658,chất lượng sản phẩm phế thải quá thấp,0
20700,Quạt không gây tiếng ồn và che phủ khu vực lưu thông không khí tốt nhất trên thị trường.,1
142100,quá tuyệt,1
26518,không cung cấp dữ liệu chính xác và nguyên bản,1
117251,tuyệt vời,1
166438,rất tệ,0
105731,rác thải,0
53360,tuyệt vời,1
67506,sản phẩm tuyệt vời,1
95647,hình ảnh và video chồng chéo và hiệu suất camera kém,0
2756,"Một sản phẩm tuyệt vời từ Boat, tôi rất thích nó, chất lượng âm thanh đáng kinh ngạc, vẻ ngoài tuyệt đẹp.",1
59980,Tốt,1
44908,không thoải mái,0
153181,sản phẩm tốt,1
93104,sản phẩm rất đẹp,1
113115,siêu,1
162140,Tốt đẹp,1
64596,sản phẩm tuyệt vời,1
183765,không phát triển nhiều hạt giống,0
165021,sản phẩm đẹp,1
41086,đóng gói kém,0
205003,"sản phẩm tốt, giá trị xứng đáng với tiền bỏ ra",1
36731,"Tốt, tôi thích đồ chơi này.",1
81113,sản phẩm tốt nhưng đóng gói kém,0
116186,"Tivi tốt trong mức giá này, còn gì hơn mà ai đó có thể mong đợi khi tivi có ứng dụng android, nếu không có mạng cáp thì chúng ta có thể chạy nó trên wifi. Chất lượng hình ảnh thì hoàn hảo trên hộp set up HD, tôi chưa gặp vấn đề gì nên từ phía tôi thì đây là sản phẩm hoàn hảo.",1
106637,"xe không hoạt động sau khi tôi lắp đặt các tế bào, chất lượng cũng kém so với thị trường",0
75431,sản phẩm kém chất lượng,0
182441,sản phẩm xuất sắc,1
71674,tuyệt vời,1
190521,chất lượng kém lãng phí tiền máy giặt đã khiếu nại,0
123637,sản phẩm tốt tôi thích nó,1
107917,giá trị cho đồng tiền,1
91674,rất tốt,1
185925,chất lượng kém,0
54325,sản phẩm tồi tệ nhất,0
5051,nó đã hư hỏng sau 2 tuần,0
136430,"Trong khi vận hành, máy xay sẽ dừng lại và nóng lên nhiều hơn.",0
152562,vải đẹp,1
146339,ngân hàng câu hỏi tốt nhất,1
155156,"Những cái gối này không giống như hình, chúng màu đen thay vì màu trắng, nhỏ hơn về kích thước và hoàn toàn không mềm mại, tôi cảm thấy bị lừa đảo.",0
85377,nhựa của các lọ và máy trộn có chất lượng rất rẻ tiền,0
173039,"Tôi đã sử dụng được một tháng, chưa gặp vấn đề gì cho đến bây giờ.",0
103429,không đến,0
99273,"Sản phẩm thì tốt nhưng tôi nhận được một cái bị lỗi, cửa không đóng đúng cách. Dù sao tôi cũng đã trả lại.",0
142626,rất tệ,0
203383,tuyệt vời,1
159511,"sản phẩm rất tốt, tôi rất hài lòng, cảm ơn flipkart",1
171521,không hoạt động,0
187348,sợi không tốt,0
46646,tuyệt vời,1
144276,"sản phẩm tuyệt vời, tôi rất thích nó.",1
103090,"Sản phẩm không phù hợp với máy in HP Deskjet 1515, mô tả sản phẩm đã thông báo rằng nó sẽ hoạt động trên máy in này nhưng bạn đã lừa tôi, tôi muốn trả lại tiền.",0
146800,"không đáng cho việc chuẩn bị upsc, các chủ đề không được đề cập chi tiết",0
122827,vấn đề kết nối bluetooth,0
135316,sản phẩm tốt nhưng giao hàng muộn 20 ngày sau khi đặt hàng,1
95752,không đáng giá tiền,0
25772,không hoạt động trên bluetooth,0
